"Story","Title","Result","Date","Stability","Duration (s)"
"App test","Register user tests","SUCCESS","2020-04-23T16:40:24.495-05:00[America/Bogota]","0.0","14.05"
"App test","Get users","SUCCESS","2020-04-23T16:40:38.602-05:00[America/Bogota]","0.0","1.8"
"App test","Register user test","SUCCESS","2020-04-24T11:20:10.384-05:00[America/Bogota]","0.0","8.66"
"App test","Get users test","SUCCESS","2020-04-24T11:20:19.101-05:00[America/Bogota]","0.0","1.04"
"App test","Fact test","SUCCESS","2020-04-24T11:20:20.147-05:00[America/Bogota]","0.0","1.45"
"App test","Update user test","SUCCESS","2020-04-24T11:20:21.598-05:00[America/Bogota]","0.0","2.41"
